Club Name| City| Region| Website| Contact| Online| Coaches| Misc
ADANAC Boxing|Windsor|South West|&nbsp;|"395 Techumseh West, Windsor, Ontario N8X1G3,(519) 256-1717,"||","|
AFT Top Glove Boxing Academy Brantford|Brantford|South West|&nbsp;|"34 Dalkeith Drive, Brantford, Ontario N3P1N6,email: afttopgloveboxing@gmail.com"||","|
Ajax|Ajax|Central|http://www.ajaxboxingclub.ca|"75 Centennial Rd, Ajax, Ontario L1S4S4,(905) 391-1745,"|Website: www.ajaxboxingclub.ca|"Brandon  Cook,Bernard Dadula,Mike Guyett,,"|
Amazing Fitness|Hamilton|Niagara|http://www.amazingfitnessclubs.com|"702 King Street East, Hamilton, Ontario L8M1A3,(905) 525-9999,"|Website: www.amazingfitnessclubs.com|","|
Ambush Boxing Club|Bearskin Lake|Northern|&nbsp;|"21 Bearskin Road, Bearskin Lake, Ontario P0V1E0,email: ambushboxingclub@gmail.com"||","|
Atlas Boxing Club|Toronto|Central|http://www.atlasboxingclub.com|"100 Bridgeland Ave, Toronto, Ontario M6A,(416) 240-0269,"|Website: www.atlasboxingclub.com|"Mandy Bujold,Amado Cabatuan,Michael Haas,,"|
B.A.M Niagara|Niagara Falls|Niagara|http://www.bamniagara.ca|"5715 Mangnolia Dr., Niagara Falls, Ontario L2H3J3,(905) 394-1976,"|"Website: www.bamniagara.ca,Facebook: bam niagara"|"James Phelps,,"|
Bam-Bam&#8217;s Boxing Gym|Windsor|South West|&nbsp;|"1501 Howard Ave., 104, Windsor, Ontario N8X3T5,(519) 817-0391,"||"Henri Guenette,,"|
Battle Arts|Mississauga|Central|&nbsp;|"4880 Tomken Rd, Mississauga, Ontario L6R2X6,(289) 622-8853,"||","|
Bay Area Athletic Club|Burlington|Central|http://www.baacboxing.com|"5008 South Service Road, Burlington, Ontario L7L5Y7,(905) 333-0036,"|Website: www.baacboxing.com|"Muzammal  Nawaz,Mohamed  Abdel-Rahman,Ross Mylet,,"|
Beaver Boxing Club|Ottawa|Eastern|http://www.beaverboxing.ca|"145 Spruce Street, Ottawa, Ontario K1R6P1,(613) 798-8067,"|"Website: www.beaverboxing.ca,Facebook: https://www.facebook.com/beaverboxing,Twitter: @beaver_boxing"|"Jill  Perry,Kevin Mcneil,Kevin Orange,John Edwards,Bill DesLaurier,Victor Ong,Max Craston,,"|
Bell City Boxing|Brantford|Niagara|&nbsp;|"23 Tamara Place , Unit #3, Brantford, Ontario N3P1M8,(519) 757-7889,"||"Bill Williams,,"|
BigTyme|Orangeville|Central|http://www.bigtymefitness.com|"5 Commerce Rd, Orangeville, Ontario L9W2K9,(519) 940-8269,"|Website: www.bigtymefitness.com|"Andy Ragogna,,"|
Blands Boxing Club|Welland|Niagara|&nbsp;|"298 Crowland Avenue, Welland, Ontario L3B1X6,(647) 884-2024,"||"James Bland,,"|
Blaze Performance Training|Orangeville|Central|&nbsp;|"78 Centennial Rd , Unit 8, Orangeville, Ontario L9W1P9,email: irishkablaze@gmail.com"||","|
Bloor Street Boxing Club|Toronto|Central|http://www.bloorstreetfitness.com|"2295 Dundas St W, Toronto, Ontario M6R1X6,(416) 535-2699,"|Website: www.bloorstreetfitness.com|","|
Blue Collar Boxing Academy|Windsor|South West|&nbsp;|"3115 Suffolk Street, Windsor, Ontario N8R1P1,email: bluecollarboxingacademy@gmail.com"||","|
Bluewater Boxing Club|Sarnia|South West|http://www.bluewaterboxingclub.com|"142 Front Street, Sarnia, Ontario N7T5S3,(519) 383-0570,"|Website: www.bluewaterboxingclub.com|"Tom  Hennessey e:tom@tghsafety.com,Wade Fleming,,"|
Body By Chosen|Toronto|Central|http://www.bodybychosen.com|"195 Church st , Toronto, Ontario ,,"|Website: www.bodybychosen.com|","|
Bolton Boxing|Bolton|Central|&nbsp;|"266 Queen St South, Bolton, Ontario L7E4T7,,"||"Gabriel Tello,,"|
Boone&#8217;s City Boxing Club|Niagara Falls|Niagara|&nbsp;|"6889 Lundys Lane, Niagara Falls, Ontario L2G1V7,(905) 356-9393,"||","|
Border City Boxing|Windsor|South West|http://www.bordercityboxing.com/|"1072 Drouillard Road, Windsor, Ontario N8Y2P8,(519) 253-1578,"|Website: www.bordercityboxing.com/|"Alison Hunter,Douglas Bedard,James Joshua Canty,Andre Gorges,,"|
Boxing Ontario (Head Office)|Toronto |Central|http://www.boxingontario.com|"3 Concorde Gate, Toronto , Ontario M3C3N7,email: info@boxingontario.com"|Website: www.boxingontario.com|","|
Boxing Without Barriers|Ottawa|Eastern|&nbsp;|"145 Spruce Street, Ottawa, Ontario K1R6P1,email: boxingwithoutbarriers@gmail.com"||","|
Bramalea Boxing Club|Brampton|Central|http://www.bramaleaboxingclub.com|"225 Balmoral Dr, Brampton, Ontario L6T3V5,email: info@bramaleaboxingclub.com"|Website: www.bramaleaboxingclub.com|"Peter  Sjouwerman,Charles Harold Williamson,Kathy Sjouwerman,Eric Del Monte,,"|
Brampton Boxing Gym|Brampton|Central|http://www.bramptonboxinggym.com|"75 Rosedale Ave W, Brampton, Ontario L6X1K1,(647) 772-2106,"|Website: www.bramptonboxinggym.com|","|
Brantford Black Eye|Brantford|Niagara|&nbsp;|"17 Webling St, 15, Brantford, Ontario N3S2S8,(519) 754-6201,"|Facebook: brantford blackeye boxing club|"Rob  Rutherford,John Armour,Andrew Armour,,"|
Budo Canada|Toronto|Central|http://www.budocanada.com|"38C Apex Rd, Toronto, Ontario M6A2V2,email:  info@budocanada.com"|Website: www.budocanada.com|"Leo Casemiro,,"|
Bulldog Boxing Academy|Belleville|Eastern|&nbsp;|"316 Front St, Belleville, Ontario K8N2Z8,,"||"Michael Delaney,Matt Harrison,Lisa Neill,,"|
Bushido Boxing|London|South West|&nbsp;|"30 Adelaide Street North, London, Ontario N6B3N5,(519) 494-3170,"||"Kyle Millette,,"|
C4 MMA &#038; Fitness|MISSISSAUGA|Central|http://www.c4mmafitness.com|"392 Gibraltar Dr, MISSISSAUGA, Ontario L5H1V1,(416) 402-3439,"|Website: www.c4mmafitness.com|","|
Cabbagetown Boxing Club|Toronto|Central|http://www.cabbagetownboxing.on.ca|"2 Lancaster Ave, Toronto, Ontario M4X1C1,(416) 961-2912,"|Website: www.cabbagetownboxing.on.ca|"Johnny Kalbhenn,Heather Hopkins,,"|
Caged Dragon|Brantford|Niagara|&nbsp;|"57 Copernicus, Brantford, Ontario N3P1N4,,"||"Michael Williamson,,"|
Cardoso Boxing|Milton|Central|&nbsp;|"100 Nippising, Milton, Ontario L9T4Z5,(289) 851-3448,"||"Fernando Cardoso,,"|
Celtic Hammer Boxing Club|Ottawa|Eastern|&nbsp;|"1385 Woodroffe Ave, Ottawa, Ontario K2G1V8,(613) 854-9792,"||","|
Centre Ring Ltd|Toronto|Central|http://www.centrering.com|"22 Balliol St, Unit 107, Toronto, Ontario M451C1,email: info@centrering.com"|Website: www.centrering.com|"Carlos Varela Jr,Wayne Bourque,,"|
Champion Boxing Club|Brampton|Central|http://www.championboxingclub.com|"Unit 7, 8550 Torbram Rd, Brampton, Ontario L6T5C8,(905) 791-4793,"|"Website: www.championboxingclub.com,Facebook: www.championboxingclub.com,Twitter: www.championboxingclub.com"|"John Melich,,"|
Championship City|St. Thomas|South West|&nbsp;|"36 St. Catherine St. , St. Thomas, Ontario N5P2V8,(519) 670-5353,"||"Gil Sopoco,Dom Sopoco,,"|
Champs Eastside Boxing|Cornwall|Eastern|http://www.champsboxing.com|"223 Jarvis St, Cornwall, Ontario KGH186,(613) 938-3281,"|Website: www.champsboxing.com|"Tony Luis,Margaret Elaine Mason,,"|
Cheriki Academy|Richmond Hill|Central|&nbsp;|"10288 Yonge St, Richmond Hill, Ontario L4C2B8,(905) 918-1000,"||"Mehran Cheriki,,"|
Combative Concepts Boxing Club|Scarborough|Central|http://www.combativeconceptsama.ca|"1211 Kennedy Rd, 2nd floor, Scarborough, Ontario M1P2L2,(647) 868-9104,"|Website: www.combativeconceptsama.ca|","|
Comodus Boxing|Perth|Eastern|http://www.comodusboxingclub.com|"33 Lewis street, Perth, Ontario K7H2R4,(613) 888-6157,"|Website: www.comodusboxingclub.com|"Myriam Boily,,"|
Cookstown Boxing Club|Cookstown |Central|&nbsp;|"5088 Simcoe County Rd 27, Cookstown , Ontario L0L1L0,(416) 471-8609,"||"Gary Rideout,,"|
Corcoran&#8217;s Boxing Club and Fitness Centre|Peterborough|Eastern|&nbsp;|"1270 Haggis Dr., Peterborough, Ontario K9K2S9,(705) 872-1086,"||","|
Counter Punch Promotions|Toronto|Central|&nbsp;|"303-65 Keewatin Ave, Toronto, ON M4P 2A4, Toronto, Ontario ,(416) 806-1626,"||","|
Crown Boxing T.O.|Toronto|Central|&nbsp;|"25 Earlington Ave, 504, Toronto, Ontario M8X3A3,(416) 456-9824,"||"Masood Popal e: mpopal@gmail.com,,"|
DC Boxing Academy|Guelph|Niagara|&nbsp;|"340 South Gate dr, Guelph, Ontario N1G4P5,(519) 731-4560,"||","|
Delgado Boxing|Mississauga|Central|&nbsp;|"450 Matheson Blvd East, Unit 43 & 44, Mississauga, Ontario L4Z1R5,email: latnboxa@hotmail.com"||"Rafael Delgado e: latnboxa@hotmail.com,,"|
Destiny Boxing|Kitchener|Niagara|&nbsp;|"1253 King Street East, Kitchener, Ontario N2G2N5,(519) 571-1269,"||"Syd Vanderpool,Natasha Spence,,"|
Dewith Frazer Boxing|Mississauga|Central|http://www.dewithboxing.com|"1590 Dundas St E, Unit #207, Mississauga, Ontario L4X1L4,(905) 290-9162,"|Website: www.dewithboxing.com|"Dewith Frazer,Melinda Watpool,,"|
Durham Boxing Academy|Ajax|Central|&nbsp;|"91 Station St. 8, Ajax, Ontario L1S3H2,(905) 449-7263,"||","|
Evolve MMA|St.Catharines|Niagara|&nbsp;|"325 Welland Ave, St.Catharines, Ontario L2R6P7,email: info@evolvemma.ca"||","|
Fearless MMA|Aurora|Central|&nbsp;|"240 Industrial Parkway S, 7, Aurora, Ontario L4G3V5,(905) 713-1662,"||"Rick Dunn,,"|
Fighting Island|Amhurstburg|South West|&nbsp;|"300 Simcoe St, Amhurstburg, Ontario N9V2K5,(519) 567-6741,"||"Joe Leblanc,Curtis Antonucci,Adrian (Andrew) Wong,Ken French,,"|
Final Round Boxing|Ottawa|Eastern|http://www.finalround.ca|"15 Eccles Street, Ottawa, Ontario K1R6S1,(613) 371-1543,"|Website: www.finalround.ca|"Eric Belanger,Gavin Arbuckle,,"|
Gideon Boxing Academy|Scarborough|Central|http://www.gideonboxingacademy.com|"21 Progress Avenue, Unit #6, Scarborough, Ontario M1P2L6,(416) 832-2477,"|"Website: www.gideonboxingacademy.com,Facebook: https://www.facebook.com/pages/gideon-boxing-academy/430348607048491?ref=hl,Twitter: https://twitter.com/gideonboxing"|"Horace Hunter,Ecton Brown,Bonnie Hunter,,"|
Grant/Rival Boxing Club|Toronto|Central|http://https://grantmma.ca/|"4884 Dufferin St, 6, Toronto, Ontario ,(416) 763-7770,"|Website: https://grantmma.ca/|","|
Guelph MMA|Guelph|Niagara|&nbsp;|"30 Cardigan St, Guelph, Ontario N1H3V4,,"||"Sebastian Cordova,,"|
Hard Knocks Boxing Club|Toronto|Central|&nbsp;|"358 Queen St, Toronto, Ontario M5A1T1,(416) 792-1531,"||"Sam Cannarella,Sasa Belina,,"|
House of Five Boxing Club|Niagara Falls|Niagara|&nbsp;|"7637 Lundy's Lane, Niagara Falls, Ontario L2H1H2,(905) 329-1574,"||","|
Huf Gym|Mississauga|Central|http://www.hufboxing.com|"700 Dundas St E, Unit 5 & 6, Mississauga, Ontario L4Y3Y5,(905) 274-4483,"|Website: www.hufboxing.com|"Andrew Heron,Olga Heron,Teresa Heron,,"|
Insight X Boxing|Toronto|Central|http://insxbox.com|"59 Comstock Rd., 3, Toronto, Ontario M1L2G6,(416) 910-1378,"|Website: insxbox.com|"Kevin Perez e: kevin.perez@insxbox.com,Helene Jafine,Kristina Ejem e: kjem@girlsjustwannabox.com,,"|
Irwins Boxing Club|Niagara Falls|Niagara|&nbsp;|"5881 Thorold Stone Rd , Niagara Falls, Ontario L2J1A1,email: billthekid488@gmail.com"||"Massimiliano Rizzi,,"|
Jamestown Boxing|Oshawa|Central|&nbsp;|"373 Wilson Rd. S, Oshawa, Ontario L1H6C6,email: adriantpjames1@yahoo.ca"||"Trevor Baker,,"|
JCC Boxing Club|Vaughan|Central|http://srcentre.ca|"9600 Bathurst St, Vaughan, Ontario L6A3E8,(905) 303-5245,"|Website: srcentre.ca|","|
Just Train It Boxing|Oakville|Central|http://www.jtiboxing.com|"505 Iroquois Shore Rd #11, Oakville, Ontario L6H2R3,email: info@justtrainit.com"|Website: www.jtiboxing.com|","|
K1 Kickboxing Academy|Burlington|Central|http://k1kickboxingacademy.com|"4129 Harvester Rd Unit E, Burlington, Ontario L7L5M3,(905) 517-7800,"|Website: k1kickboxingacademy.com|","|
Kent Athletic Youth Organization|Chatham|South West|http://www.kayoboxingclub.com|"300 Lacroix St, Unit 6, Chatham, Ontario N7M6M6,(519) 358-1757,"|Website: www.kayoboxingclub.com|"Floyd Porter,,"|
King Of The Ring|Brampton|Central|&nbsp;|"10 Automatic Rd, Brampton, Ontario L655N3,email: ajazkhan16@hotmail.com"||"Ajaz Khan,Leonie (Lee) Smith,Paul Demelo,,"|
Kingston Youth Boxing Club|Kingston|Eastern|&nbsp;|"427 Montreal St , Kingston, Ontario K7K3H4,(613) 547-5675,"|Facebook: kingston youth boxing club|"Colin Macphail,Jack Chisamore,Paul Quirt,Taylor Ethridge,,"|
Kingsway Boxing Club|Toronto|Central|http://www.kingswayboxingclub.com|"22 Jutland Rd, Unit B, Toronto, Ontario M8Z2G9,(416) 234-0075,"|Website: www.kingswayboxingclub.com|"Jennifer Huggins,Virgil Barrow,Geoffrey Britnell,Phillip Daniels,,"|
KNOCKOUT BRAMPTON Boxing Club|Brampton|Central|&nbsp;|"75 Rosedale Ave West, Unit 10, Brampton, Ontario L6X4H4,email: marianmirsoane@gmail.com"||"Sal Marra-MacInnes,Sebastian Mirsoane,Mario Mirsoane,Melissa Mirsoane,,"|
Kombat Arts Boxing|Mississauga|Central|&nbsp;|"6175 tomken rd, Mississauga, Ontario L5T1X5,(905) 804-8158,"||"Sean  Fulgencio e: s.fulgencio@hotmail.com,Socrates Celestial e: coach.socrates@gmail.com,Natasha Spence,Sweta Srivastava,,"|
Leading Edge Boxing|Thunder Bay|Northern|http://www.leadingedgemma.com|"96 High St  N, Thunder Bay, Ontario P7A5R3,(807) 622-5684,"|Website: www.leadingedgemma.com|"Kathy Williams Waruk,,"|
Legends MMA|Brampton|Central|&nbsp;|"253 Summerlea Rd, Brampton, Ontario ..,email: legendsmmabrampton@hotmail.com"||","|
Martial Arts Fitness Academy (M.A.F.A 1991)|Brampton|Central|&nbsp;|"100 Westcreek Blvd, Brampton, Ontario L6T5V7,(905) 874-8418,"||"Richard Lewis,,"|
McGrory&#8217;s Boxing Club|Hamilton|Niagara|&nbsp;|"120 Sherman Ave. N, Hamilton, Ontario L8H5R4,(905) 308-5602,"|"Facebook: https://www.facebook.com/pages/mcgrorys-boxing-club-hamilton/321018274590867,Twitter: mcgrorysboxing"|"Vinnie  Ryan,Lawrence  Hay,Isho Shiba,Rodolfo Velasquez,,"|
MJKO|Toronto|Central|http://www.mjko.ca|"186 Cowan Ave , Basement, Toronto, Ontario M6K2N6,email: miranda.kamal@mkjo.ca"|"Website: www.mjko.ca,Facebook: www.facebook.com/mjkoboxing,Twitter: mjkoboxing"|"Miranda Kamal,Ibrahim Kamal,Jimmy Zhang,Safia Ali,,"|
Motor City Boxing Club|Oshawa|Central|http://www.motorcityboxingclub.com|"725 Bloor St W, Oshawa, Ontario L1J5W6,(905) 434-8686,"|"Website: www.motorcityboxingclub.com,Facebook: https://www.facebook.com/motorcityboxingclub/,Twitter: https://twitter.com/motorcityboxing"|"Don  Nelson,Mike  Power,Stephen Cyr,William (Bill) Ford,Evan Gillard,Daniel Wright,Lance  Campbell,Brad Gonsalvez,Dimce Dimitrovski,Antonto Kovacik,Al Martina,Clay Dales,Robert Perri,Grace Nelson,,"|
Napper&#8217;s Boxing Club|Welland|Niagara|http://www.https://facebook.com/groups/273479005887/|"30 Park St, Welland, Ontario L3B4M2,(905) 733-0010,"|"Website: www.https://facebook.com/groups/273479005887/,Facebook: napper's boxing club"|"Ray  Napper e: nappersbc@hotmail.com,Julia Dimarcantonio,Gregory Black,Todd Napper,,"|
Niagara Falls Boxing|Niagara Falls|Niagara|http://www.niagarafallsboxing.org|"6017 Valley Way, Niagara Falls, Ontario L2E1X9,(905) 354-7918,"|Website: www.niagarafallsboxing.org|"Ron Gallen e: nfbclub@outlook.com,Scott Copeland,Scott Paul,,"|
No Excuse Fitness|Burlington |Central|http://www.noexcuseboxing.com|"1400 plains rd, 206, Burlington , Ontario L7R3P8,(289) 439-4953,"|Website: www.noexcuseboxing.com|"Ryan Rannelli,,"|
Old School Boxing|Hamilton|Niagara|&nbsp;|"12 Kenilworth Ave S, Hamilton, Ontario L8K2S8,(905) 746-6100,"||","|
Pasch-Time Boxing|London |South West|http://www.paschtime.com|"790 Little Grey st., London , Ontario N5P1Z1,(226) 984-7706,"|"Website: www.paschtime.com,Facebook: https://www.facebook.com/paschtimeboxing?ref=hl"|"Michael Pasch,,"|
Paul Brown Box Fit|Toronto|Central|http://paulbrownboxfit.com|"661 Yonge St., 100, Toronto, Ontario M4Y1Z9,(416) 706-6893,"|Website: paulbrownboxfit.com|","|
Pembroke Boxing|Pembroke|Eastern|&nbsp;|"94 Pembroke St W, Pembroke, Ontario K8A5M6,(613) 732-2269,"||"Jason Burgoyne,,"|
Platinum Training Facility|London|South West|http://www.platinummartialarts.com/|"561 Southdale Rd E , #13, London, Ontario N6E3M7,(519) 694-5042,"|Website: www.platinummartialarts.com/|"Jesse Standon,,"|
Posteraro&#8217;s Boxing Gym|Oshawa|Central|http://coach glen posteraro|"1472 Thornton Rd, Unit 9, Oshawa, Ontario ,(905) 767-8777,"|Website: coach glen posteraro|","|
Pound 4 Pound|Pickering |Central|http://pound4poundmma.ca|"940 Brock Rd #7, Pickering , Ontario L1W2A1,(905) 492-7477,"|Website: pound4poundmma.ca|","|
Primal MMA Academy|Toronto|Central|http://primalmma.ca|"388 Carlaw Ave., 116, Toronto, Ontario M4M2T4,(647) 782-4555,"|Website: primalmma.ca|","|
PrimeTime Boxing Club|Oakville|Central|&nbsp;|"2595 Speers Rd., Oakville, Ontario L6K2G4,(905) 847-6992,"||"Greg Post,Hayden Jones,,"|
Quinte Bay Boxing|Belleville |Eastern|&nbsp;|"19-21 Wallbridge Cres, Belleville , Ontario K8P1Z3,(613) 827-0513,"||"Warren Hunton,,"|
Regency Boxing Club|Milton|Niagara|&nbsp;|"6901 Derry Rd , Milton, Ontario L9T6Y4,(905) 749-6461,"|Facebook: https://www.facebook.com/regencyboxing/info|","|
REV MMA  Vaughan|" Concord, ON"|Central|http://www.revmma.com|"14 Connie Crescent , #11,  Concord, ON, Ontario L4K1L6,(289) 807-0008,"|Website: www.revmma.com|"Ranny Tal<br/>e:  ranny@revmma.com,,"|
Rev MMA Mixed Martial Arts &#038; Fitness|North York|Central|http://https://revmma.com/location/toronto/|"150 Lesmill Rd, North York, Ontario M3B2T5,email: infotoronto@revmma.com"|Website: https://revmma.com/location/toronto/|"Michael Alexander Fleming,,"|
Ring London Boxing|London|South West|&nbsp;|"500 First St , London, Ontario N5V3J9,(519) 675-1888,"|Facebook: ring london boxing|"Tom O&#8217;Connor e: gcservice@tcc.on.ca,,"|
RingFit Boxing|Toronto|Central|&nbsp;|"1992 Yonge St, Toronto, Ontario M4S1Z7,(647) 347-7063,"||"Stephan Boyd,,"|
Rough Boxing Club|Windsor|South West|http://www.roughboxing.com|"2615 Howard Ave, Windsor, Ontario N8X3W7,(519) 816-8161,"|Website: www.roughboxing.com|"Ali Mansour,N. Doug Patterson,,"|
Royal City Youth Boxing|Guelph|Niagara|http://www.royalcityyouthboxing.weebly.com/|"50 Quebec St , Guelph, Ontario N1H2T4,(519) 763-3614,"|Website: www.royalcityyouthboxing.weebly.com/|","|
Sault Boxing Club|Sault Ste.marie|Northern|http://www.saultboxing.ca|"114 Tancred St , Sault Ste.marie, Ontario P6A2W3,(705) 542-0181,"|Website: www.saultboxing.ca|","|
Scarberian Boxing Club|Scarborough|Central|http://www.scarberianboxing.com|"2250 Midland Ave # 29, Scarborough, Ontario M1P4R9,(647) 501-1979,"|Website: www.scarberianboxing.com|","|
Shipyards Boxing Club|Collingwood|Central|&nbsp;|"23 Stewart Rd, Unit 2, Collingwood, Ontario L9Y0E7,email: shipyardsboxing@gmail.com"||","|
Shortsleeves School of Boxing|Kingsville|South West|&nbsp;|"106 Wigle Avenue, Unit 2 Upper, Kingsville, Ontario N9Y2J8,(519) 818-2617,"||","|
Siberia Boxing Club|Toronto|Central|http://www.siberia-boxing.com|"115 Dolomile Drive, Toronto, Ontario M3J2X4,(647) 995-7048,"|Website: www.siberia-boxing.com|"Viloryi Kim,,"|
Sparta Bando Club|Union|South West|&nbsp;|"42892 Sparta Line, Union, Ontario N0L2L0,(519) 851-3369,"||","|
Special T Boxing UFC Gym|Mississauga|Central|http://ufcgym.com/mississauga|"3900 Grand Park Dr., Mississauga, Ontario L5B4M6,(905) 615-1500,"|Website: ufcgym.com/mississauga|"Tyrone Bradshaw e: tyronebradshaw@outlook.com,,"|
St Catharines Boxing Club|St.Catharines|Niagara|http://www.stcatharinesboxingclub.com|"50 Niagara St, St.Catharines, Ontario L2P1N2,(905) 988-1244,"|Website: www.stcatharinesboxingclub.com|"Joe Corrigan,John  Robertson,Paul Zahra,Bruce Greenlaw,,"|
Steeltown Boxing|Hamilton|Niagara|http://www.steeltownboxing.com|"1521 Upper Ottawa St, Hamilton, Ontario L8W3J4,(905) 574-6673,"|Website: www.steeltownboxing.com|"Steven  Wilcox,,"|
Stockyards Boxing and Fitness|Toronto|Central|http://www.stockyardsboxingandfitness.com|"215 Ryding Ave, Toronto, Ontario M6N1H6,(416) 766-1348,"|"Website: www.stockyardsboxingandfitness.com,Twitter: stockyardsbox"|"William Quinteros,,"|
Sully&#8217;s Gym|Toronto|Central|&nbsp;|"1554 Dundas St West, Lower Level, Toronto, Ontario M6K1T8,email: joemanteiga@live.com"||","|
Team Bujold Academy|Kitchener|South West|http://mandybujold.com|"200 King Street West, Kitchener, Ontario N2G4V6,(519) 501-0421,"|Website: mandybujold.com|","|
The Pitt|Scotland|Niagara|&nbsp;|"85 Simcoe St, Scotland, Ontario N0E1R0,(519) 761-9954,"||"Dennis Gurney,,"|
The Scrap Yard Boxing Gym|Peterborough|Eastern|http://scrapyardboxing.com/|"311 George Street North , Peterborough, Ontario K9J3H3,(705) 878-7608,"|Website: scrapyardboxing.com/|"Dwight  Kelusky,,"|
The Whip Boxing|Waterloo|Niagara|http://www.thewhipboxing.ca|"178 B Weber  St  N, Waterloo, Ontario ,(519) 577-7910,"|Website: www.thewhipboxing.ca|","|
Thousand Island Youth Boxing Club|Gananoque|Eastern|&nbsp;|"400 Stone Street North, Gananoque, Ontario K7G1Y8,(613) 530-5461,"||"Peter Henshaw,,"|
Timmins Boxing Club|Timmins|Northern|http://www.timminsboxingclub.com|"303 Cameron St S, Timmins, Ontario P4N8N8,(705) 365-6856,"|Website: www.timminsboxingclub.com|"Shawn Johnstone e: fishing@protackle.ca,Jeannette JOhnstone,,"|
TNT Boxing|Guelph|Niagara|http://www.tntboxingacademy.com|"171 Dawson Rd, Guelph, Ontario N1H1A2,(519) 760-0784,"|"Website: www.tntboxingacademy.com,Facebook: https://www.facebook.com/pages/tnt-boxing-academy/247812282423?ref=hl,Twitter: https://twitter.com/tntboxing"|"joel yip chuck,Dan Desantis,Stephen Bailey,,"|
Top Glove Boxing Academy|Sudbury|Northern|http://topglove.ca|"1855 Lasalle Blvd., 9, Sudbury, Ontario P3A2A3,(705) 561-7215,"|Website: topglove.ca|","|
Toronto Newsgirls Boxing Club|Toronto|Central|http://www.torontonewsgirls.com|"388 Carlaw Ave, Unit 108, Toronto, Ontario M4M2T4,(416) 480-2058,"|Website: www.torontonewsgirls.com|"Savoy Howe,,"|
Toronto Striking Academy|Toronto|Central|http://torontostrikingacademy.ca|"5 Yetta Shepway, Toronto, Ontario M2J1X8,(416) 875-2899,"|Website: torontostrikingacademy.ca|","|
Twin Tiger Boxing Academy|Wasaga Beach|Central|&nbsp;|"35 Dunkerron Avenue , Wasaga Beach, Ontario L9Z2H4,email: wasagabeach@outloook.com"||","|
Underdogs Boxing Club|St.Catharines|Niagara|http://www.underdogsboxing.org/|"17 Secord Dr, St.Catharines, Ontario L2N1K9,(905) 984-0741,"|Website: www.underdogsboxing.org/|","|
